1.3314e-01 0.0000e+00 1.7016e-01 0.0000e+00 1.5308e-01 1.8754e-01 2.3179e-02 0.0000e+00 7.0637e-02 5.3287e-02
1.2429e-01 0.0000e+00 1.7977e-01 0.0000e+00 1.9056e-01 1.7771e-01 4.9943e-02 0.0000e+00 6.4774e-02 4.1301e-02
1.3012e-01 0.0000e+00 1.3593e-01 0.0000e+00 1.2658e-01 5.0000e-02 6.8402e-02 0.0000e+00 6.0321e-02 5.6713e-02
1.2425e-01 0.0000e+00 1.6243e-01 0.0000e+00 1.6575e-01 1.1584e-01 6.0494e-02 0.0000e+00 6.6633e-02 4.8125e-02
1.2576e-01 0.0000e+00 2.0921e-01 0.0000e+00 1.8666e-01 7.8274e-02 9.0208e-02 0.0000e+00 7.7505e-02 4.2843e-02
1.2349e-01 0.0000e+00 2.3855e-01 0.0000e+00 2.1752e-01 1.6635e-01 6.9560e-02 0.0000e+00 8.7517e-02 4.0461e-02
1.1063e-01 0.0000e+00 2.3748e-01 0.0000e+00 2.5626e-01 1.7732e-01 8.9894e-02 0.0000e+00 1.0000e-01 4.3166e-02
1.3460e-01 0.0000e+00 1.6916e-01 0.0000e+00 1.3729e-01 7.0766e-02 6.6277e-02 0.0000e+00 6.6023e-02 5.0045e-02
1.2349e-01 0.0000e+00 2.3855e-01 0.0000e+00 2.1752e-01 1.6635e-01 6.9560e-02 0.0000e+00 8.7517e-02 4.0461e-02
1.2630e-01 0.0000e+00 1.8568e-01 0.0000e+00 2.1240e-01 1.7784e-01 5.2476e-02 0.0000e+00 6.8103e-02 4.2083e-02
