t,S6
0.0000,2.5620
0.0000,2.3301
0.0000,2.6827
0.0000,2.3085
0.0000,2.5884
0.5000,2.6180
0.5000,2.9655
0.5000,3.4334
0.5000,3.0651
0.5000,3.0861
1.0000,1.5425
1.0000,1.6736
1.0000,1.7786
1.0000,1.8631
1.0000,1.7141
1.5000,3.2327
1.5000,3.2523
1.5000,3.4765
1.5000,3.8891
1.5000,2.8734
2.0000,3.1709
2.0000,2.9602
2.0000,2.8384
2.0000,2.5710
2.0000,3.0239
2.5000,1.3666
2.5000,1.2792
2.5000,1.5023
2.5000,1.3584
2.5000,1.1040
3.0000,3.6004
3.0000,3.1114
3.0000,2.6779
3.0000,3.1094
3.0000,3.0316
3.5000,2.4880
3.5000,2.1058
3.5000,2.4087
3.5000,2.3479
3.5000,2.1118
4.0000,0.3381
4.0000,0.4013
4.0000,0.3626
4.0000,0.4213
4.0000,0.3854
4.5000,2.6646
4.5000,2.2406
4.5000,3.1019
4.5000,2.4011
4.5000,3.0120
5.0000,1.4856
5.0000,1.2661
5.0000,1.4765
5.0000,1.5953
5.0000,1.4732
5.5000,2.8960
5.5000,2.8038
5.5000,2.9356
5.5000,2.7332
5.5000,2.9392
6.0000,2.0711
6.0000,2.0114
6.0000,2.1065
6.0000,1.7999
6.0000,2.0945
