t,S5
0.0000,0.2923
0.0000,0.3369
0.0000,0.2863
0.0000,0.2843
0.0000,0.2682
0.5000,0.0816
0.5000,0.0666
0.5000,0.0788
0.5000,0.0847
0.5000,0.0826
1.0000,0.1673
1.0000,0.1506
1.0000,0.1734
1.0000,0.1292
1.0000,0.1568
1.5000,0.1248
1.5000,0.1139
1.5000,0.1128
1.5000,0.1058
1.5000,0.1121
2.0000,0.0546
2.0000,0.0449
2.0000,0.0493
2.0000,0.0596
2.0000,0.0464
2.5000,0.1655
2.5000,0.1694
2.5000,0.1699
2.5000,0.1601
2.5000,0.1542
3.0000,0.1116
3.0000,0.1127
3.0000,0.1144
3.0000,0.1347
3.0000,0.1071
3.5000,0.0864
3.5000,0.0899
3.5000,0.0864
3.5000,0.0810
3.5000,0.0867
4.0000,0.1507
4.0000,0.1877
4.0000,0.1847
4.0000,0.1856
4.0000,0.1681
4.5000,0.0846
4.5000,0.0755
4.5000,0.0651
4.5000,0.0695
4.5000,0.0717
5.0000,0.1470
5.0000,0.1551
5.0000,0.1679
5.0000,0.1576
5.0000,0.1383
5.5000,0.0943
5.5000,0.1220
5.5000,0.0932
5.5000,0.1268
5.5000,0.1017
6.0000,0.0912
6.0000,0.1071
6.0000,0.0942
6.0000,0.1132
6.0000,0.0986
