t,S7
0.0000,0.0927
0.0000,0.1019
0.0000,0.1021
0.0000,0.1159
0.0000,0.1007
0.5000,0.0667
0.5000,0.0543
0.5000,0.0904
0.5000,0.0822
0.5000,0.0703
1.0000,0.0499
1.0000,0.0571
1.0000,0.0519
1.0000,0.0617
1.0000,0.0480
1.5000,0.1212
1.5000,0.1301
1.5000,0.1226
1.5000,0.1208
1.5000,0.1266
2.0000,0.0801
2.0000,0.0815
2.0000,0.0913
2.0000,0.0756
2.0000,0.0739
2.5000,0.0503
2.5000,0.0604
2.5000,0.0582
2.5000,0.0476
2.5000,0.0580
3.0000,0.1046
3.0000,0.1042
3.0000,0.1120
3.0000,0.1368
3.0000,0.1150
3.5000,0.0581
3.5000,0.0594
3.5000,0.0626
3.5000,0.0561
3.5000,0.0666
4.0000,0.0797
4.0000,0.0783
4.0000,0.0804
4.0000,0.0788
4.0000,0.0856
4.5000,0.0908
4.5000,0.0799
4.5000,0.0928
4.5000,0.0853
4.5000,0.0880
5.0000,0.0562
5.0000,0.0494
5.0000,0.0608
5.0000,0.0432
5.0000,0.0528
5.5000,0.1118
5.5000,0.0954
5.5000,0.1131
5.5000,0.1003
5.5000,0.1213
6.0000,0.0633
6.0000,0.0512
6.0000,0.0499
6.0000,0.0619
6.0000,0.0554
