t,S1
0.0000,1.5202
0.0000,1.5568
0.0000,1.7816
0.0000,1.6484
0.0000,1.7578
0.5000,2.7018
0.5000,2.7506
0.5000,2.6432
0.5000,2.7678
0.5000,2.3901
1.0000,3.1988
1.0000,2.5613
1.0000,2.9194
1.0000,2.8780
1.0000,2.7062
1.5000,0.7147
1.5000,0.5591
1.5000,0.6264
1.5000,0.6836
1.5000,0.7446
2.0000,1.9904
2.0000,1.6858
2.0000,1.6785
2.0000,1.8013
2.0000,2.0177
2.5000,2.2449
2.5000,2.1526
2.5000,2.1986
2.5000,1.9744
2.5000,1.7078
3.0000,0.7560
3.0000,0.7271
3.0000,0.6466
3.0000,0.6057
3.0000,0.7474
3.5000,1.9079
3.5000,1.6934
3.5000,1.8653
3.5000,1.4847
3.5000,1.6562
4.0000,0.2766
4.0000,0.2312
4.0000,0.2295
4.0000,0.2421
4.0000,0.2511
4.5000,1.0902
4.5000,1.1974
4.5000,1.0564
4.5000,1.3306
4.5000,1.1418
5.0000,1.8692
5.0000,1.5301
5.0000,1.9010
5.0000,1.6002
5.0000,1.5386
5.5000,0.7116
5.5000,0.6338
5.5000,0.6231
5.5000,0.6788
5.5000,0.6415
6.0000,1.3333
6.0000,1.5404
6.0000,1.5502
6.0000,1.6799
6.0000,1.5945
