1.0162e-01	1.0000e-03	4.9062e-01	7.1900e-01	1.0000e-03	1.0000e-03	7.5795e-01
1.0279e-01	1.0000e-03	4.9164e-01	7.1053e-01	1.0000e-03	1.0000e-03	3.8203e-01
1.0789e-01	1.0000e-03	4.6175e-01	6.6561e-01	1.0000e-03	1.0000e-03	7.9559e-01
1.0323e-01	1.0000e-03	4.6326e-01	6.8688e-01	4.4367e-03	1.0000e-03	6.0489e-01
1.0288e-01	1.0000e-03	4.7734e-01	7.0362e-01	2.6628e-01	1.0000e-03	1.0000e+00
1.0398e-01	1.0000e-03	4.8656e-01	7.0182e-01	1.0000e-03	1.0000e-03	5.7674e-01
1.0279e-01	1.0000e-03	4.9164e-01	7.1053e-01	1.0000e-03	1.0000e-03	3.8203e-01
1.0279e-01	1.0000e-03	4.9164e-01	7.1053e-01	1.0000e-03	1.0000e-03	3.8203e-01
1.0765e-01	1.0000e-03	4.6197e-01	6.6683e-01	1.0000e-03	1.0000e-03	7.9957e-01
1.0194e-01	1.0000e-03	4.9090e-01	7.1471e-01	1.0000e-03	1.0000e-03	8.6214e-01
