1.3487e-01	1.4705e-01	1.7069e-01	2.3892e-01	1.0000e-03	4.7830e-02	1.0000e-03
1.3304e-01	1.4805e-01	1.6979e-01	2.4357e-01	1.0000e-03	3.8238e-02	1.0000e-03
1.5022e-01	1.5150e-01	1.5413e-01	2.1034e-01	1.3260e-03	3.0919e-02	1.0000e-03
1.4136e-01	1.6517e-01	1.6003e-01	2.2772e-01	1.0000e-03	4.5195e-02	1.0000e-03
1.3904e-01	1.3866e-01	1.6558e-01	2.2907e-01	1.0000e-03	4.1071e-02	1.0000e-03
1.3891e-01	1.4797e-01	1.6533e-01	2.3051e-01	1.0000e-03	4.3354e-02	1.0000e-03
1.3556e-01	1.4436e-01	1.7116e-01	2.3797e-01	1.0938e-03	4.3721e-02	1.0000e-03
1.4196e-01	1.4765e-01	1.6765e-01	2.2270e-01	2.8430e-03	5.1826e-02	2.5048e-02
1.5864e-01	1.5827e-01	1.4067e-01	1.9253e-01	1.5770e-03	3.0289e-02	1.0000e-03
1.4444e-01	1.5380e-01	1.5226e-01	2.1591e-01	1.1877e-03	3.9573e-02	1.0000e-03
