1.2970e-01 1.4547e-01 1.5091e-01 6.8233e-02 7.6027e-02 5.4198e-02 4.5732e-02
1.3929e-01 1.4806e-01 1.1037e-01 3.1112e-02 5.4772e-02 7.4903e-02 6.9052e-02
1.2118e-01 1.4508e-01 1.6938e-01 9.8285e-02 7.4076e-02 5.7613e-02 4.6129e-02
1.2059e-01 1.4322e-01 1.8906e-01 2.1367e-01 3.3326e-02 5.0663e-02 3.9015e-02
1.3725e-01 1.2390e-01 1.2882e-01 1.0000e-03 8.3232e-02 5.1193e-02 5.5225e-02
1.3855e-01 1.5937e-01 1.2478e-01 5.9155e-03 7.3384e-02 7.2215e-02 6.1456e-02
1.2970e-01 1.4547e-01 1.5091e-01 6.8233e-02 7.6027e-02 5.4198e-02 4.5732e-02
1.2970e-01 1.4547e-01 1.5091e-01 6.8233e-02 7.6027e-02 5.4198e-02 4.5732e-02
1.2970e-01 1.4547e-01 1.5091e-01 6.8233e-02 7.6027e-02 5.4198e-02 4.5732e-02
1.4166e-01 1.5060e-01 1.4078e-01 1.0800e-01 4.2604e-02 6.1568e-02 5.4280e-02
