a1,a2,a3,a4,a5,a6,a7,a8,a9
0.10882655771951488,0.49613675265202756,0.33213243693958916,0.34483793081488956,0.05642059444592857,0.3215926707601683,0.07961377099017775,0.1647251723145574,0.018443879777571358
0.11543078482708072,0.44053280780722714,0.4147012470593401,0.3609692129930861,0.07352325817524934,0.4043580482625898,0.048640996786618124,0.12367590316429244,0.0495532278318222
0.10760301060235966,0.3774883539283735,0.27079279419263697,0.42186026173686686,0.05353352047560822,0.27873830994892396,0.02545087558383779,0.12285348599552959,0.015531811413817792
0.1028456655190367,0.34718295268942345,0.21134637553786295,0.36540628348925996,0.04418864800099212,0.33036247834211363,0.075960578875434,0.221777133818,0.0707225463877994
0.05,0.21857397372690948,0.49052846501458214,0.14615461654595224,0.09999817404578336,0.2496317983344612,0.04423496176779543,0.05,0.01
0.06297552853971203,0.46693975455121883,0.4603451986677701,0.4627658703210428,0.07938589672899395,0.458899448905081,0.08685479565720568,0.16891004265195983,0.0908392231868743
0.05899328055488265,0.3465349358795187,0.3034114812628921,0.4454297993126819,0.09219216464133068,0.4312634530495746,0.07318448070688273,0.12332111455507616,0.02659440139770422
0.08347625458517238,0.1650856849006346,0.23930984146066137,0.1682551418937363,0.0211413860809535,0.15872309105257437,0.09271039395368685,0.09871317920142558,0.03791466479576941
0.19947546765767082,0.19936463059266812,0.30184120961399946,0.19502374822824947,0.06370301941151504,0.15891100407929337,0.08412134324889135,0.13604534773823618,0.09278286720391891
0.08637186546026049,0.39572508735232237,0.4890951648493709,0.26131416331727675,0.046316591876313394,0.3651095178935998,0.06529401498512102,0.1143851512272881,0.03278589282300026
0.06657257283655377,0.16456881459707273,0.07387810090858724,0.21043444333610561,0.0921992822515695,0.07711584212937433,0.08033904794410218,0.15397317879818065,0.054329073139230064
0.0844461782518562,0.3087100002840602,0.4198649302239754,0.3745020730835714,0.05424826457840634,0.46701900042880085,0.07637817325681602,0.09221586459417408,0.01
0.05267618472128136,0.4885475504548829,0.49404494556857853,0.3348416581597149,0.05516126822402904,0.4469417954502437,0.0559357798016765,0.09449842542647484,0.011106307239106541
0.17039758631626187,0.15388753816782097,0.4665808943259106,0.3347961047781938,0.01412174002211821,0.39444087677337925,0.09971805226505255,0.06462198444898168,0.032385940093516224
0.13685773944160684,0.3817568792670495,0.2470089138358434,0.4802890496316681,0.052098438158928506,0.34527619011489763,0.0986793875441133,0.16705471347397,0.013107290587820342
0.10026210073348496,0.12888581414389685,0.2775533279306388,0.14175242282864783,0.06904663229724878,0.19868580948924622,0.033872677397138624,0.0541230969103933,0.03419470818746494
0.07866740090533084,0.23387211678893519,0.31446473848747036,0.20213715865541032,0.010707445546225713,0.2410045977335506,0.0427466882756356,0.09534459378344026,0.08333147799536207
0.12297003188924982,0.14822367517091412,0.17361213380532936,0.29373518742641863,0.07481103038582046,0.20773772070932262,0.04806193382782914,0.09065000266455697,0.06226713290831078
0.06325297903858282,0.41038741359275765,0.2072836540255485,0.4305844265362396,0.012958943809872697,0.48105011456645175,0.06845640657857467,0.1991474005239589,0.02080105930831643
0.05,0.078092891023568,0.05,0.0846149218132157,0.08012075851956463,0.12894362329133016,0.01,0.05,0.01
