2.5276 -2.0000 -6.7839 -1.1952 0.2405 -6.3982 -1.2713 1.0967e+01
2.4102 -1.9200 -6.7845 -1.2542 0.2348 -6.3876 -1.2704 1.0968e+01
2.2905 -1.8400 -6.7925 -1.3121 0.2497 -6.3837 -1.2716 1.0974e+01
2.2719 -1.7600 -6.7771 -1.4277 0.2293 -6.4008 -1.2690 1.0970e+01
2.0455 -1.6800 -6.7823 -1.4488 0.2305 -6.3970 -1.2714 1.0999e+01
3.5425 -1.6000 -6.7445 -1.9085 0.2052 -6.4632 -1.0990 1.1163e+01
3.4039 -1.5200 -6.7720 -1.8397 0.2187 -6.4246 -1.2671 1.1049e+01
3.3384 -1.4400 -6.7837 -1.9574 0.2299 -6.4165 -1.2724 1.1039e+01
3.2428 -1.3600 -6.7855 -1.9950 0.2300 -6.4139 -1.2723 1.1038e+01
2.7430 -1.2800 -6.9786 -1.9925 1.8176 -6.7878 -1.2529 1.1495e+01
3.0112 -1.2000 -6.7834 -1.9458 0.2283 -6.4174 -1.2726 1.1039e+01
2.4075 -1.1200 -7.0155 -1.9152 1.8177 -6.7514 -1.2131 1.1439e+01
2.3672 -1.0400 -7.0174 -1.9998 1.8177 -6.7465 -1.2086 1.1441e+01
2.2121 -0.9600 -7.0410 -2.0000 1.8179 -6.6425 -1.1959 1.1535e+01
2.0344 -0.8800 -7.0663 -2.0000 1.8181 -6.5376 -1.1881 1.1816e+01
2.5093 -0.8000 -6.7975 -2.0000 0.1100 -6.2595 -1.0761 1.2971e+01
2.0000 -0.7200 -6.8941 -2.0000 1.4337 -5.3383 -1.0490 4.5162e+01
2.2853 -0.6400 -5.3187 -2.0000 0.0666 -7.0916 -2.0000 1.3282e+01
2.0000 -0.5600 -6.3966 -1.9378 1.1284 -7.0465 -1.4553 6.6528e+01
2.0000 -0.4800 -4.9060 -1.9520 0.1461 -7.3200 -2.0000 1.4886e+01
2.0000 -0.4000 -5.4585 -2.0000 0.1836 -8.0000 -2.0000 1.7224e+01
2.1499 -0.3200 -6.4941 2.0000 2.0000 -8.0000 2.0000 1.0000e+38
2.4126 -0.2400 -4.0000 -2.0000 -2.0000 -4.0000 1.0551 1.0000e+38
6.0000 -0.1600 -8.0000 1.2457 -0.6025 -8.0000 2.0000 1.0000e+38
4.4547 -0.0800 -8.0000 2.0000 -1.3355 -8.0000 1.7551 1.0000e+38
2.0000 0.0000 -5.5736 2.0000 1.2388 -4.0000 -1.5159 1.0000e+38
5.5122 0.0800 -4.2708 -0.5154 0.4167 -5.3907 -1.2915 1.0000e+38
6.0000 0.1600 -8.0000 -2.0000 -1.5302 -5.9337 2.0000 1.0000e+38
4.7692 0.2400 -4.8945 1.3418 2.0000 -4.0000 -0.7135 1.0000e+38
6.0000 0.3200 -7.1259 -1.8540 -0.5484 -4.7982 1.8101 1.0000e+38
3.4388 0.4000 -4.8000 2.0000 2.0000 -5.4919 -0.0860 1.0000e+38
5.3336 0.4800 -5.4407 1.7337 -1.6535 -8.0000 2.0000 1.0000e+38
4.3966 0.5600 -5.2213 -0.0829 -0.1922 -4.0000 2.0000 1.0000e+38
2.0000 0.6400 -7.9871 0.8533 0.2509 -7.2000 1.1241 1.0000e+38
2.0000 0.7200 -4.0000 -2.0000 2.0000 -8.0000 1.2000 1.0000e+38
5.1829 0.8000 -4.8131 -0.6575 0.8038 -5.7421 2.0000 1.0000e+38
6.0000 0.8800 -8.0000 -2.0000 -0.8700 -4.0000 2.0000 1.0000e+38
5.6639 0.9600 -4.0000 1.9624 -0.4166 -6.7226 -2.0000 1.0000e+38
3.5879 1.0400 -7.2342 -2.0000 0.5844 -5.2425 0.8023 1.0000e+38
3.6617 1.1200 -4.8496 -2.0000 -1.5125 -8.0000 -2.0000 1.0000e+38
2.0000 1.2000 -6.2643 0.7913 -1.1362 -5.3795 -2.0000 1.0000e+38
5.3853 1.2800 -4.0000 1.0984 0.9973 -4.8744 -2.0000 1.0000e+38
4.1209 1.3600 -5.3387 2.0000 -2.0000 -7.9575 0.8615 1.0000e+38
2.8538 1.4400 -5.7985 2.0000 1.5365 -4.0000 -2.0000 1.0000e+38
4.1251 1.5200 -5.5919 2.0000 1.9613 -6.5005 2.0000 1.0000e+38
2.0000 1.6000 -8.0000 0.2889 -1.2000 -7.2000 -2.0000 1.0000e+38
2.0000 1.6800 -5.4441 -0.8741 -2.0000 -7.7043 -1.7947 1.0000e+38
2.0000 1.7600 -4.0000 -2.0000 -1.4806 -6.9704 2.0000 1.0000e+38
5.3323 1.8400 -4.2046 2.0000 -0.3637 -8.0000 -2.0000 1.0000e+38
3.6315 1.9200 -5.2911 -0.6633 -0.1576 -8.0000 -1.2000 1.0000e+38
5.2000 2.0000 -4.0000 -0.6418 0.0881 -8.0000 2.0000 1.0000e+38
