t,S2
0.0000,1.3232
0.0000,1.4133
0.0000,1.2732
0.0000,1.6952
0.0000,1.3990
0.5000,0.2179
0.5000,0.2358
0.5000,0.2160
0.5000,0.2479
0.5000,0.2339
1.0000,0.8550
1.0000,0.8118
1.0000,0.8725
1.0000,0.8325
1.0000,0.9457
1.5000,0.7245
1.5000,0.7883
1.5000,0.6675
1.5000,0.7121
1.5000,0.6834
2.0000,0.1362
2.0000,0.1697
2.0000,0.1486
2.0000,0.1401
2.0000,0.1330
2.5000,1.0204
2.5000,0.8648
2.5000,0.8226
2.5000,0.8329
2.5000,1.0137
3.0000,0.4085
3.0000,0.4071
3.0000,0.4524
3.0000,0.4086
3.0000,0.3856
3.5000,0.2155
3.5000,0.2201
3.5000,0.2155
3.5000,0.2555
3.5000,0.2440
4.0000,2.0869
4.0000,2.2445
4.0000,2.4815
4.0000,2.6055
4.0000,2.6211
4.5000,0.1682
4.5000,0.1779
4.5000,0.1921
4.5000,0.1801
4.5000,0.1844
5.0000,0.7164
5.0000,0.7541
5.0000,0.7372
5.0000,0.8252
5.0000,0.8969
5.5000,0.5614
5.5000,0.5000
5.5000,0.4799
5.5000,0.5467
5.5000,0.4979
6.0000,0.3232
6.0000,0.2677
6.0000,0.2727
6.0000,0.2904
6.0000,0.2549
