replicate,cost,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8
0,2.815090295801321,450.7846866860969,13.013395217979562,3.2,111.9990652146337,3.9137091495363463,33.786546811033105,2.3603057016489397,10.98840980392063,0.10413060837253417
1,3.1537093564266985,454.8429868217612,13.997904430230518,3.338775101976968,132.68362726646055,3.684114516234955,37.56241533922471,2.510765474439889,13.873161401294805,0.1040000304213873
0,1.1540893828783072,319.7996846136374,6.138216124958643,13.694768524313126,322.18879241676035,1.4202974231396053,13.370116467231421,1.6555050990433067,27.873817895125196,0.3991825325388872
1,1.1463153663535948,388.2074814669727,8.44202864714052,6.146601680439242,134.2288893455097,1.8197144100639988,20.423517810299117,1.7750525143851428,8.653577538228557,0.24082705780463043
0,1.5104849820717663,488.3058671347008,9.845929381773043,5.8052361520276,142.59003009802976,1.9415828151174555,21.54091702280156,1.7880729429853672,9.30734103970611,0.20293336291607322
1,1.8540707692188727,487.58140277380926,8.744052387319417,6.394236416266246,212.75236653184695,1.9014848928740915,23.99010596908582,1.7289127253139376,15.070274288230337,0.20952081513307722
0,8.790020895600291,211.5520509044666,30.0,3.2,103.52939212153076,3.4596134047623854,57.02719512624739,3.0297932833459464,65.0,0.104
1,1.5654534756912495,500.0,8.308075025566373,6.905107941597377,184.85832208981938,1.880935701307482,16.356420271237177,2.0974404938894393,18.08671812481876,0.21806134558405765
0,1.5022579853077764,436.5222577130675,6.809648795917456,7.417634535214287,286.18713821328265,2.0989995189234807,14.805228571916214,1.5605543798588197,22.112590656191088,0.21880593545655602
1,1.619858352473824,382.28158301808907,8.289383731483067,6.469382867349701,131.51147452094094,1.8197736832760534,16.326690596843545,1.820914992365915,10.136964923263195,0.24721245218135934
0,1.102594387151114,326.37549541689464,6.7426875591277655,13.065210014395593,248.22919086621943,1.4144721825550204,13.399711333805467,1.5075728138166657,45.866804919816346,0.3702785157557297
1,1.2583219088797915,382.8591338920214,6.5036419851587555,7.0894607016376465,276.275494919191,1.640624886149293,17.34087739620487,2.30384800323848,43.28197131872672,0.2847303237553913
