Time V
4.0 394184.914714
6.0 5834.45104273
7.0 19856376.5474
8.0 7097411.73094
9.0 1713957.30750
10.0 8220533.4337
11.0 17139573.075
12.0 140896.43350
13.0 140896.43350
14.0 7827.0840959
15.0 21897.775550
16.0 1277.6149939
17.0 1.0
18.0 22998.525866
19.0 340.32981684
20.0 189060.15081
21.0 1.0
22.0 2797.6926378
23.0 134.18377322
24.0 1.0
25.0 100.0
26.0 12776.149939
27.0 3754.0495447
