Tmin,Tmax,X3min,X3max
0.000000,6.250000,0.000000,0.266972
6.250000,12.500000,0.634560,1.000000
12.500000,22.500000,0.000000,0.266972
22.500000,28.750000,0.266972,0.634560
28.750000,33.750000,0.266972,0.634560
33.750000,42.500000,0.000000,0.266972
42.500000,60.000000,0.000000,0.266972
60.000000,80.000000,0.000000,0.266972
