2.0000 -5.8305 -5.2460 0.6597 0.1891 -8.0000 -8.0000 1.0042e+01
2.0000 -5.8303 -5.2488 0.6580 0.1891 -7.9200 -7.9200 1.0042e+01
2.0000 -5.8300 -5.2518 0.6562 0.1890 -7.8400 -7.8400 1.0042e+01
2.0000 -5.8288 -5.2575 0.6521 0.1890 -7.7600 -7.7600 1.0042e+01
2.0000 -5.8286 -5.2619 0.6496 0.1889 -7.6800 -7.6800 1.0042e+01
2.0000 -5.8250 -5.2723 0.6407 0.1887 -7.6000 -7.6000 1.0042e+01
2.0000 -5.8259 -5.2769 0.6394 0.1887 -7.5200 -7.5200 1.0042e+01
2.0000 -5.8243 -5.2861 0.6332 0.1886 -7.4400 -7.4400 1.0041e+01
2.0000 -5.8215 -5.2989 0.6241 0.1884 -7.3600 -7.3600 1.0041e+01
2.0000 -5.8178 -5.3145 0.6129 0.1882 -7.2800 -7.2800 1.0041e+01
2.0000 -5.8150 -5.3305 0.6026 0.1881 -7.2000 -7.2000 1.0041e+01
2.0000 -5.8115 -5.3496 0.5902 0.1879 -7.1200 -7.1200 1.0041e+01
2.0000 -5.8053 -5.3750 0.5726 0.1877 -7.0400 -7.0400 1.0041e+01
2.0000 -5.8005 -5.4011 0.5564 0.1875 -6.9600 -6.9600 1.0041e+01
2.0000 -5.7940 -5.4330 0.5367 0.1873 -6.8800 -6.8800 1.0041e+01
2.0000 -5.7858 -5.4707 0.5136 0.1871 -6.8000 -6.8000 1.0040e+01
2.0000 -5.7752 -5.5159 0.4861 0.1869 -6.7200 -6.7200 1.0040e+01
2.0000 -5.7625 -5.5687 0.4552 0.1868 -6.6400 -6.6400 1.0040e+01
2.0000 -5.7434 -5.6344 0.4155 0.1867 -6.5600 -6.5600 1.0040e+01
2.0000 -5.7230 -5.7080 0.3747 0.1866 -6.4800 -6.4800 1.0040e+01
2.0000 -5.6914 -5.8008 0.3210 0.1865 -6.4000 -6.4000 1.0040e+01
2.0000 -5.6609 -5.9017 0.2704 0.1865 -6.3200 -6.3200 1.0040e+01
2.0000 -5.6173 -6.0269 0.2073 0.1865 -6.2400 -6.2400 1.0040e+01
2.0000 -5.5675 -6.1722 0.1406 0.1865 -6.1600 -6.1600 1.0040e+01
2.0000 -5.5017 -6.3497 0.0613 0.1865 -6.0800 -6.0800 1.0040e+01
2.0000 -5.4383 -6.5494 -0.0110 0.1865 -6.0000 -6.0000 1.0040e+01
2.0000 -5.3262 -6.8098 -0.1248 0.1865 -5.9200 -5.9200 1.0040e+01
2.0000 -5.2423 -7.0844 -0.2064 0.1865 -5.8400 -5.8400 1.0040e+01
2.0000 -5.1376 -7.4039 -0.3011 0.1865 -5.7600 -5.7600 1.0040e+01
2.0000 -5.0202 -7.7674 -0.3989 0.1865 -5.6800 -5.6800 1.0040e+01
2.0000 -4.9070 -8.0000 -0.5011 0.1818 -5.6000 -5.6000 1.0055e+01
2.0000 -4.9501 -4.1968 0.6190 0.1865 -5.5200 -5.5200 1.0040e+01
2.0000 -4.7577 -8.0000 -0.6898 0.1585 -5.4400 -5.4400 1.0528e+01
2.0000 -4.6719 -8.0000 -0.7925 0.1438 -5.3600 -5.3600 1.1015e+01
2.0000 -4.4053 -7.9983 -0.3845 0.1896 -5.2800 -5.2800 1.0053e+01
2.0000 -4.7222 -4.0156 -0.0295 0.1865 -5.2000 -5.2000 1.0040e+01
2.0000 -4.5941 -4.0207 -0.1395 0.1865 -5.1200 -5.1200 1.0040e+01
2.0000 -4.4461 -4.0980 -0.0620 0.1865 -5.0400 -5.0400 1.0040e+01
2.0000 -4.3101 -4.0011 -0.4549 0.1743 -4.9600 -4.9600 1.0079e+01
2.0000 -4.2610 -4.1094 -0.2173 0.1595 -4.8800 -4.8800 1.0220e+01
2.0000 -4.1981 -4.0236 -0.5346 0.1435 -4.8000 -4.8000 1.0417e+01
2.0000 -4.1282 -4.0033 -0.6853 0.1306 -4.7200 -4.7200 1.0798e+01
2.0000 -4.0580 -4.0109 -0.7455 0.1162 -4.6400 -4.6400 1.1226e+01
2.0000 -4.0054 -4.0425 -0.7199 0.1048 -4.5600 -4.5600 1.1739e+01
2.0000 -4.0029 -8.0000 -1.3387 0.1907 -4.4800 -4.4800 1.2498e+01
2.0000 -4.0275 -4.1796 -0.4764 0.0572 -4.4000 -4.4000 1.3684e+01
2.0000 -4.0046 -7.9762 -1.4882 0.1657 -4.3200 -4.3200 1.4172e+01
2.0000 -4.0004 -7.9999 -1.5521 0.1566 -4.2400 -4.2400 1.5390e+01
2.0000 -4.0000 -7.0780 -1.5979 0.1492 -4.1600 -4.1600 1.7180e+01
2.0000 -4.3300 -5.7891 1.2628 1.8155 -4.0800 -4.0800 1.0133e+01
2.0000 -4.0024 -7.2802 -1.7048 0.1525 -4.0000 -4.0000 2.1525e+01
